2014-05-15--00,0
2014-05-15--01,18
2014-05-15--02,0
2014-05-15--03,18
2014-05-15--04,0
2014-05-15--05,0
2014-05-15--06,0
2014-05-15--07,0
2014-05-15--08,0
2014-05-15--09,1
2014-05-15--10,4
2014-05-15--11,0
2014-05-15--12,1
2014-05-15--13,18
2014-05-15--14,0
2014-05-15--15,1
2014-05-15--16,1
2014-05-15--17,0
2014-05-15--18,0
2014-05-15--19,0
2014-05-15--20,0
2014-05-15--21,0
2014-05-15--22,0
2014-05-15--23,0
2014-05-16--00,0
2014-05-16--01,0
2014-05-16--02,0
2014-05-16--03,0
2014-05-16--04,0
2014-05-16--05,0
2014-05-16--06,0
2014-05-16--07,0
2014-05-16--08,0
2014-05-16--09,0
2014-05-16--10,1
2014-05-16--11,0
2014-05-16--12,0
2014-05-16--13,4
2014-05-16--14,1
2014-05-16--15,6
2014-05-16--16,0
2014-05-16--17,0
2014-05-16--18,1
2014-05-16--19,0
2014-05-16--20,0
2014-05-16--21,0
2014-05-16--22,0
2014-05-16--23,1
2014-05-17--00,1
2014-05-17--01,0
2014-05-17--02,0
2014-05-17--03,0
2014-05-17--04,0
2014-05-17--05,4
2014-05-17--06,0
2014-05-17--07,0
2014-05-17--08,0
2014-05-17--09,0
2014-05-17--10,0
2014-05-17--11,6
2014-05-17--12,1
2014-05-17--13,0
2014-05-17--14,0
2014-05-17--15,0
2014-05-17--16,0
2014-05-17--17,5
2014-05-17--18,1
2014-05-17--19,1
2014-05-17--20,3
2014-05-17--21,2
2014-05-17--22,0
2014-05-17--23,0
2014-05-18--00,0
2014-05-18--01,0
2014-05-18--02,0
2014-05-18--03,0
2014-05-18--04,1
2014-05-18--05,0
2014-05-18--06,0
2014-05-18--07,8
2014-05-18--08,25
2014-05-18--09,1
2014-05-18--10,0
2014-05-18--11,1
2014-05-18--12,1
2014-05-18--13,5
2014-05-18--14,2
2014-05-18--15,0
2014-05-18--16,1
2014-05-18--17,1
2014-05-18--18,1
2014-05-18--19,0
2014-05-18--20,3
2014-05-18--21,4
2014-05-18--22,0
2014-05-18--23,0
2014-05-19--00,0
2014-05-19--01,0
2014-05-19--02,0
2014-05-19--03,0
2014-05-19--04,0
2014-05-19--05,0
2014-05-19--06,0
2014-05-19--07,0
2014-05-19--08,1
2014-05-19--09,0
2014-05-19--10,4
2014-05-19--11,0
2014-05-19--12,3
2014-05-19--13,0
2014-05-19--14,0
2014-05-19--15,2
2014-05-19--16,1
2014-05-19--17,0
2014-05-19--18,2
2014-05-19--19,1
2014-05-19--20,0
2014-05-19--21,0
2014-05-19--22,0
2014-05-19--23,0
2014-05-20--00,0
2014-05-20--01,0
2014-05-20--02,0
2014-05-20--03,0
2014-05-20--04,0
2014-05-20--05,0
2014-05-20--06,0
2014-05-20--07,0
2014-05-20--08,0
2014-05-20--09,0
2014-05-20--10,0
2014-05-20--11,0
2014-05-20--12,5
2014-05-20--13,0
2014-05-20--14,0
2014-05-20--15,2
2014-05-20--16,0
2014-05-20--17,0
2014-05-20--18,0
2014-05-20--19,0
2014-05-20--20,0
2014-05-20--21,0
2014-05-20--22,2
2014-05-20--23,0
2014-05-21--00,0
2014-05-21--01,1
2014-05-21--02,0
2014-05-21--03,2
2014-05-21--04,0
2014-05-21--05,2
2014-05-21--06,3
2014-05-21--07,0
2014-05-21--08,1
2014-05-21--09,0
2014-05-21--10,0
2014-05-21--11,0
2014-05-21--12,7
2014-05-21--13,0
2014-05-21--14,4
2014-05-21--15,0
2014-05-21--16,0
2014-05-21--17,0
2014-05-21--18,1
2014-05-21--19,0
2014-05-21--20,4
2014-05-21--21,0
2014-05-21--22,0
2014-05-21--23,0
2014-05-22--00,0
2014-05-22--01,0
2014-05-22--02,0
2014-05-22--03,0
2014-05-22--04,0
2014-05-22--05,1
2014-05-22--06,12
2014-05-22--07,0
2014-05-22--08,0
2014-05-22--09,1
2014-05-22--10,0
2014-05-22--11,0
2014-05-22--12,5
2014-05-22--13,1
2014-05-22--14,0
2014-05-22--15,2
2014-05-22--16,7
2014-05-22--17,0
2014-05-22--18,0
2014-05-22--19,0
2014-05-22--20,0
2014-05-22--21,0
2014-05-22--22,0
2014-05-22--23,0
2014-05-23--00,0
2014-05-23--01,0
2014-05-23--02,6
2014-05-23--03,0
2014-05-23--04,0
