2014-05-15--00,3
2014-05-15--01,4
2014-05-15--02,22
2014-05-15--03,4
2014-05-15--04,3
2014-05-15--05,3
2014-05-15--06,3
2014-05-15--07,3
2014-05-15--08,3
2014-05-15--09,2
2014-05-15--10,0
2014-05-15--11,0
2014-05-15--12,0
2014-05-15--13,1
2014-05-15--14,0
2014-05-15--15,0
2014-05-15--16,0
2014-05-15--17,0
2014-05-15--18,0
2014-05-15--19,0
2014-05-15--20,0
2014-05-15--21,0
2014-05-15--22,0
2014-05-15--23,0
2014-05-16--00,0
2014-05-16--01,0
2014-05-16--02,0
2014-05-16--03,0
2014-05-16--04,0
2014-05-16--05,0
2014-05-16--06,0
2014-05-16--07,0
2014-05-16--08,0
2014-05-16--09,0
2014-05-16--10,0
2014-05-16--11,0
2014-05-16--12,0
2014-05-16--13,1
2014-05-16--14,2
2014-05-16--15,1
2014-05-16--16,1
2014-05-16--17,1
2014-05-16--18,1
2014-05-16--19,1
2014-05-16--20,1
2014-05-16--21,1
2014-05-16--22,1
2014-05-16--23,1
2014-05-17--00,0
2014-05-17--01,1
2014-05-17--02,1
2014-05-17--03,1
2014-05-17--04,1
2014-05-17--05,1
2014-05-17--06,1
2014-05-17--07,1
2014-05-17--08,1
2014-05-17--09,1
2014-05-17--10,1
2014-05-17--11,20
2014-05-17--12,1
2014-05-17--13,2
2014-05-17--14,2
2014-05-17--15,2
2014-05-17--16,2
2014-05-17--17,2
2014-05-17--18,4
2014-05-17--19,4
2014-05-17--20,4
2014-05-17--21,4
2014-05-17--22,4
2014-05-17--23,4
2014-05-18--00,4
2014-05-18--01,4
2014-05-18--02,4
2014-05-18--03,4
2014-05-18--04,4
2014-05-18--05,5
2014-05-18--06,32
2014-05-18--07,31
2014-05-18--08,6
2014-05-18--09,4
2014-05-18--10,7
2014-05-18--11,7
2014-05-18--12,6
2014-05-18--13,7
2014-05-18--14,6
2014-05-18--15,6
2014-05-18--16,4
2014-05-18--17,4
2014-05-18--18,4
2014-05-18--19,3
2014-05-18--20,3
2014-05-18--21,3
2014-05-18--22,3
2014-05-18--23,3
2014-05-19--00,3
2014-05-19--01,3
2014-05-19--02,3
2014-05-19--03,3
2014-05-19--04,3
2014-05-19--05,3
2014-05-19--06,3
2014-05-19--07,3
2014-05-19--08,3
2014-05-19--09,3
2014-05-19--10,1
2014-05-19--11,1
2014-05-19--12,1
2014-05-19--13,1
2014-05-19--14,1
2014-05-19--15,0
2014-05-19--16,0
2014-05-19--17,0
2014-05-19--18,0
2014-05-19--19,0
2014-05-19--20,1
2014-05-19--21,1
2014-05-19--22,1
2014-05-19--23,1
2014-05-20--00,1
2014-05-20--01,1
2014-05-20--02,1
2014-05-20--03,1
2014-05-20--04,1
2014-05-20--05,1
2014-05-20--06,1
2014-05-20--07,1
2014-05-20--08,1
2014-05-20--09,1
2014-05-20--10,1
2014-05-20--11,1
2014-05-20--12,1
2014-05-20--13,1
2014-05-20--14,1
2014-05-20--15,1
2014-05-20--16,1
2014-05-20--17,0
2014-05-20--18,0
2014-05-20--19,0
2014-05-20--20,0
2014-05-20--21,0
2014-05-20--22,0
2014-05-20--23,0
2014-05-21--00,0
2014-05-21--01,0
2014-05-21--02,0
2014-05-21--03,0
2014-05-21--04,0
2014-05-21--05,0
2014-05-21--06,3
2014-05-21--07,3
2014-05-21--08,0
